"CNTY","CHILD_DEATH_YR","UNDERLYING_COD","CNT_BY_UNDERLYING_COD","CNTY_YR_DEATH_TOTAL","PCT_CNTY_YR_TOTAL","CHILD_DEATH_CNTY_POP","CNTY_YR_DEATH_TOTAL_PER_10000_CNTY_RES"
ALLEN,2010,Necrotizing enterocolitis of newborn,3,18,16.666600,355329,0.500000
ALLEN,2010,Sudden infant death syndrome,2,18,11.111100,355329,0.500000
ALLEN,2010,Accidental suffocation and strangulation in bed,2,18,11.111100,355329,0.500000
ALLEN,2010,"Congenital malformation of the heart, unspecified",2,18,11.111100,355329,0.500000
ALLEN,2010,Other specified chromosome abnormalities,1,18,5.555500,355329,0.500000
ALLEN,2010,Cytomegaloviral pneumonitis,1,18,5.555500,355329,0.500000
ALLEN,2010,Extreme immaturity,1,18,5.555500,355329,0.500000
ALLEN,2010,Newborn affected by premature rupture of membranes,1,18,5.555500,355329,0.500000
ALLEN,2010,Acute tracheitis,1,18,5.555500,355329,0.500000
ALLEN,2010,Septicemia due to Streptococcus pneumoniae,1,18,5.555500,355329,0.500000
ALLEN,2010,"Septicemia, unspecified",1,18,5.555500,355329,0.500000
ALLEN,2010,"Pneumonia, unspecified",1,18,5.555500,355329,0.500000
ALLEN,2010,Assault (homicide) by unspecified means,1,18,5.555500,355329,0.500000
ALLEN,2011,Sudden infant death syndrome,5,15,33.333300,358759,0.410000
ALLEN,2011,"Congenital malformation of the heart, unspecified",2,15,13.333300,358759,0.410000
ALLEN,2011,Sepsis of newborn due to other and unspecified streptococci,1,15,6.666600,358759,0.410000
ALLEN,2011,Necrotizing enterocolitis of newborn,1,15,6.666600,358759,0.410000
ALLEN,2011,"Acute renal failure, unspecified",1,15,6.666600,358759,0.410000
ALLEN,2011,"Spinal muscular atrophy, unspecified",1,15,6.666600,358759,0.410000
ALLEN,2011,Newborn affected by premature rupture of membranes,1,15,6.666600,358759,0.410000
ALLEN,2011,Hypoxic ischemic encephalopathy of newborn,1,15,6.666600,358759,0.410000
ALLEN,2011,Other specified respiratory disorders,1,15,6.666600,358759,0.410000
ALLEN,2011,Unspecified intraventricular (nontraumatic) hemorrhage of newborn,1,15,6.666600,358759,0.410000
ALLEN,2012,"Septicemia, unspecified",3,15,20.000000,360753,0.410000
ALLEN,2012,Sudden infant death syndrome,3,15,20.000000,360753,0.410000
ALLEN,2012,Other reduction deformities of brain,1,15,6.666600,360753,0.410000
ALLEN,2012,Respiratory distress syndrome of newborn,1,15,6.666600,360753,0.410000
ALLEN,2012,"Respiratory distress of newborn, unspecified",1,15,6.666600,360753,0.410000
ALLEN,2012,"Bacterial sepsis of newborn, unspecified",1,15,6.666600,360753,0.410000
ALLEN,2012,Other specified conditions originating in the perinatal period,1,15,6.666600,360753,0.410000
ALLEN,2012,Adenoviral pneumonia,1,15,6.666600,360753,0.410000
ALLEN,2012,Congenital diaphragmatic hernia,1,15,6.666600,360753,0.410000
ALLEN,2012,Disorders of glycine metabolism,1,15,6.666600,360753,0.410000
ALLEN,2012,"Edwards' syndrome, unspecified",1,15,6.666600,360753,0.410000
ALLEN,2013,Other and unspecified gastroenteritis and colitis of infectious origin,2,24,8.333300,363265,0.660000
ALLEN,2013,Accidental suffocation and strangulation in bed,2,24,8.333300,363265,0.660000
ALLEN,2013,Sudden infant death syndrome,2,24,8.333300,363265,0.660000
ALLEN,2013,Exomphalos,1,24,4.166600,363265,0.660000
ALLEN,2013,Neonatal cardiac failure,1,24,4.166600,363265,0.660000
ALLEN,2013,Hypoxic ischemic encephalopathy of newborn,1,24,4.166600,363265,0.660000
ALLEN,2013,"Intrauterine hypoxia, unspecified",1,24,4.166600,363265,0.660000
ALLEN,2013,"Abnormal reaction, other medical procedures",1,24,4.166600,363265,0.660000
ALLEN,2013,Neonatal hypertension,1,24,4.166600,363265,0.660000
ALLEN,2013,"Congenital malformation of respiratory system, unspecified",1,24,4.166600,363265,0.660000
ALLEN,2013,Newborn affected by other forms of placental separation and hemorrhage,1,24,4.166600,363265,0.660000
ALLEN,2013,"Spinal muscular atrophy, unspecified",1,24,4.166600,363265,0.660000
ALLEN,2013,"Birth asphyxia, unspecified",1,24,4.166600,363265,0.660000
ALLEN,2013,Osteogenesis imperfecta,1,24,4.166600,363265,0.660000
ALLEN,2013,"Poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, undetermined intent",1,24,4.166600,363265,0.660000
ALLEN,2013,"Bacterial sepsis of newborn, unspecified",1,24,4.166600,363265,0.660000
ALLEN,2013,Acute tracheitis,1,24,4.166600,363265,0.660000
ALLEN,2013,Convulsions of newborn,1,24,4.166600,363265,0.660000
ALLEN,2013,"Congenital malformation of the heart, unspecified",1,24,4.166600,363265,0.660000
ALLEN,2013,"Unspecified event, undetermined intent",1,24,4.166600,363265,0.660000
ALLEN,2013,Gastroesophageal reflux disease without esophagitis,1,24,4.166600,363265,0.660000
ALLEN,2014,Sudden infant death syndrome,6,25,24.000000,365361,0.680000
ALLEN,2014,Respiratory distress syndrome of newborn,3,25,12.000000,365361,0.680000
ALLEN,2014,"Congenital malformation of the heart, unspecified",2,25,8.000000,365361,0.680000
ALLEN,2014,Extreme immaturity,2,25,8.000000,365361,0.680000
ALLEN,2014,Other ill-defined and unspecified causes of mortality,1,25,4.000000,365361,0.680000
ALLEN,2014,Necrotizing enterocolitis of newborn,1,25,4.000000,365361,0.680000
ALLEN,2014,Hypoxic ischemic encephalopathy of newborn,1,25,4.000000,365361,0.680000
ALLEN,2014,Anencephaly,1,25,4.000000,365361,0.680000
ALLEN,2014,"Down's syndrome, unspecified",1,25,4.000000,365361,0.680000
ALLEN,2014,Unspecified pulmonary hemorrhage originating in the perinatal period,1,25,4.000000,365361,0.680000
ALLEN,2014,Other specified conditions originating in the perinatal period,1,25,4.000000,365361,0.680000
ALLEN,2014,"Encephalitis, myelitis, and encephalomyelitis, unspecified",1,25,4.000000,365361,0.680000
ALLEN,2014,Inhalation and ingestion of food causing obstruction of respiratory tract,1,25,4.000000,365361,0.680000
ALLEN,2014,"Intrauterine hypoxia, unspecified",1,25,4.000000,365361,0.680000
ALLEN,2014,Acidosis,1,25,4.000000,365361,0.680000
ALLEN,2014,Holoprosencephaly,1,25,4.000000,365361,0.680000
ALLEN,2015,Sudden infant death syndrome,4,21,19.047600,368040,0.570000
ALLEN,2015,"Congenital malformation of the heart, unspecified",3,21,14.285700,368040,0.570000
ALLEN,2015,Hypoxic ischemic encephalopathy of newborn,2,21,9.523800,368040,0.570000
ALLEN,2015,Newborn affected by premature rupture of membranes,1,21,4.761900,368040,0.570000
ALLEN,2015,Perinatal intestinal perforation,1,21,4.761900,368040,0.570000
ALLEN,2015,Other disorders of lung,1,21,4.761900,368040,0.570000
ALLEN,2015,Common arterial trunk,1,21,4.761900,368040,0.570000
ALLEN,2015,"Congenital hydrocephalus, unspecified",1,21,4.761900,368040,0.570000
ALLEN,2015,Disseminated intravascular coagulation of newborn,1,21,4.761900,368040,0.570000
ALLEN,2015,Other secondary pulmonary hypertension,1,21,4.761900,368040,0.570000
ALLEN,2015,Septicemia due to Staphylococcus aureus,1,21,4.761900,368040,0.570000
ALLEN,2015,Accidental suffocation and strangulation in bed,1,21,4.761900,368040,0.570000
ALLEN,2015,Double outlet right ventricle,1,21,4.761900,368040,0.570000
ALLEN,2015,Other and unspecified gastroenteritis and colitis of infectious origin,1,21,4.761900,368040,0.570000
ALLEN,2015,"Influenza with other respiratory manifestations, influenza virus identified",1,21,4.761900,368040,0.570000
ALLEN,2016,"Congenital malformation of the heart, unspecified",2,21,9.523800,370404,0.560000
ALLEN,2016,Sudden infant death syndrome,2,21,9.523800,370404,0.560000
ALLEN,2016,Alveolar and parietoalveolar conditions,1,21,4.761900,370404,0.560000
ALLEN,2016,"Septicemia, unspecified",1,21,4.761900,370404,0.560000
ALLEN,2016,"Encephalocele, unspecified",1,21,4.761900,370404,0.560000
ALLEN,2016,Congenital cerebral cysts,1,21,4.761900,370404,0.560000
ALLEN,2016,Other chronic respiratory diseases originating in the perinatal period,1,21,4.761900,370404,0.560000
ALLEN,2016,Disorders of glycine metabolism,1,21,4.761900,370404,0.560000
ALLEN,2016,Persistent fetal circulation,1,21,4.761900,370404,0.560000
ALLEN,2016,Fistula of intestine,1,21,4.761900,370404,0.560000
ALLEN,2016,Other specified conditions originating in the perinatal period,1,21,4.761900,370404,0.560000
ALLEN,2016,Atrioventricular septal defect,1,21,4.761900,370404,0.560000
ALLEN,2016,Other hypertrophic cardiomyopathy,1,21,4.761900,370404,0.560000
ALLEN,2016,"Congenital pneumonia, unspecified",1,21,4.761900,370404,0.560000
ALLEN,2016,Hypoxic ischemic encephalopathy of newborn,1,21,4.761900,370404,0.560000
ALLEN,2016,Other apnea of newborn,1,21,4.761900,370404,0.560000
ALLEN,2016,"Subarachnoid hemorrhage, unspecified",1,21,4.761900,370404,0.560000
ALLEN,2016,Disorders of pyruvate metabolism and gluconeogenesis,1,21,4.761900,370404,0.560000
ALLEN,2016,"Pneumonia, unspecified",1,21,4.761900,370404,0.560000
ALLEN,2017,Sudden infant death syndrome,4,18,22.222200,370404,0.480000
ALLEN,2017,Other preterm infants,2,18,11.111100,370404,0.480000
ALLEN,2017,Newborn affected by premature rupture of membranes,1,18,5.555500,370404,0.480000
ALLEN,2017,Primary atelectasis of newborn,1,18,5.555500,370404,0.480000
ALLEN,2017,Renal dysplasia,1,18,5.555500,370404,0.480000
ALLEN,2017,"Intrauterine hypoxia, unspecified",1,18,5.555500,370404,0.480000
ALLEN,2017,Ischemic infarction of muscle,1,18,5.555500,370404,0.480000
ALLEN,2017,Holoprosencephaly,1,18,5.555500,370404,0.480000
ALLEN,2017,Disorders of glycine metabolism,1,18,5.555500,370404,0.480000
ALLEN,2017,Hypoxic ischemic encephalopathy of newborn,1,18,5.555500,370404,0.480000
ALLEN,2017,Congenital diaphragmatic hernia,1,18,5.555500,370404,0.480000
ALLEN,2017,"Congenital malformation of the heart, unspecified",1,18,5.555500,370404,0.480000
ALLEN,2017,Necrotizing enterocolitis of newborn,1,18,5.555500,370404,0.480000
ALLEN,2017,Extreme immaturity,1,18,5.555500,370404,0.480000
ALLEN,2018,Other and unspecified gastroenteritis and colitis of infectious origin,4,16,25.000000,370404,0.430000
ALLEN,2018,Sudden infant death syndrome,2,16,12.500000,370404,0.430000
ALLEN,2018,Holoprosencephaly,1,16,6.250000,370404,0.430000
ALLEN,2018,"Bacterial sepsis of newborn, unspecified",1,16,6.250000,370404,0.430000
ALLEN,2018,Other specified neonatal hemorrhages,1,16,6.250000,370404,0.430000
ALLEN,2018,Newborn affected by premature rupture of membranes,1,16,6.250000,370404,0.430000
ALLEN,2018,Other secondary pulmonary hypertension,1,16,6.250000,370404,0.430000
ALLEN,2018,Unspecified threat to breathing,1,16,6.250000,370404,0.430000
ALLEN,2018,Other ill-defined and unspecified causes of mortality,1,16,6.250000,370404,0.430000
ALLEN,2018,Hypoplastic left heart syndrome,1,16,6.250000,370404,0.430000
ALLEN,2018,Newborn affected by incompetent cervix,1,16,6.250000,370404,0.430000
ALLEN,2018,Assault (homicide) by unspecified means,1,16,6.250000,370404,0.430000
BARTHOLOMEW,2010,Extreme immaturity,2,6,33.333300,76794,0.780000
BARTHOLOMEW,2010,Other preterm infants,1,6,16.666600,76794,0.780000
BARTHOLOMEW,2010,Congenital cytomegalovirus infection,1,6,16.666600,76794,0.780000
BARTHOLOMEW,2010,Hypoplastic left heart syndrome,1,6,16.666600,76794,0.780000
BARTHOLOMEW,2010,,1,6,16.666600,76794,0.780000
BARTHOLOMEW,2011,Sudden infant death syndrome,2,5,40.000000,77626,0.640000
BARTHOLOMEW,2011,Extreme immaturity,1,5,20.000000,77626,0.640000
BARTHOLOMEW,2011,Other accidental hanging and strangulation,1,5,20.000000,77626,0.640000
BARTHOLOMEW,2011,"Congenital malformation of the heart, unspecified",1,5,20.000000,77626,0.640000
BARTHOLOMEW,2012,Other specified trisomies and partial trisomies of autosomes,1,5,20.000000,78927,0.630000
BARTHOLOMEW,2012,"Congenital malformation of the heart, unspecified",1,5,20.000000,78927,0.630000
BARTHOLOMEW,2012,"Edwards' syndrome, unspecified",1,5,20.000000,78927,0.630000
BARTHOLOMEW,2012,Perforation of intestine (nontraumatic),1,5,20.000000,78927,0.630000
BARTHOLOMEW,2012,Accidental suffocation and strangulation in bed,1,5,20.000000,78927,0.630000
BARTHOLOMEW,2013,Septicemia due to Staphylococcus aureus,1,5,20.000000,79491,0.620000
BARTHOLOMEW,2013,"Condition originating in the perinatal period, unspecified",1,5,20.000000,79491,0.620000
BARTHOLOMEW,2013,Unspecified chronic respiratory disease originating in the perinatal period,1,5,20.000000,79491,0.620000
BARTHOLOMEW,2013,"Status epilepticus, unspecified",1,5,20.000000,79491,0.620000
BARTHOLOMEW,2013,Sudden infant death syndrome,1,5,20.000000,79491,0.620000
BARTHOLOMEW,2014,Accidental suffocation and strangulation in bed,2,7,28.571400,80182,0.870000
BARTHOLOMEW,2014,Hypoxic ischemic encephalopathy of newborn,1,7,14.285700,80182,0.870000
BARTHOLOMEW,2014,Disorders of fatty-acid metabolism,1,7,14.285700,80182,0.870000
BARTHOLOMEW,2014,Other and unspecified gastroenteritis and colitis of infectious origin,1,7,14.285700,80182,0.870000
BARTHOLOMEW,2014,Patent ductus arteriosus,1,7,14.285700,80182,0.870000
BARTHOLOMEW,2014,Necrotizing enterocolitis of newborn,1,7,14.285700,80182,0.870000
BARTHOLOMEW,2015,Extreme immaturity,1,5,20.000000,81011,0.610000
BARTHOLOMEW,2015,Microcephaly,1,5,20.000000,81011,0.610000
BARTHOLOMEW,2015,Persistent fetal circulation,1,5,20.000000,81011,0.610000
BARTHOLOMEW,2015,Other congenital malformations of tricuspid valve,1,5,20.000000,81011,0.610000
BARTHOLOMEW,2015,Sudden infant death syndrome,1,5,20.000000,81011,0.610000
BARTHOLOMEW,2016,"Multiple congenital malformations, not elsewhere classified",1,5,20.000000,81402,0.610000
BARTHOLOMEW,2016,Sudden infant death syndrome,1,5,20.000000,81402,0.610000
BARTHOLOMEW,2016,"Intracranial (nontraumatic) hemorrhage of newborn, unspecified",1,5,20.000000,81402,0.610000
BARTHOLOMEW,2016,Diaphragmatic hernia without obstruction or gangrene,1,5,20.000000,81402,0.610000
BARTHOLOMEW,2016,Unspecified pulmonary hemorrhage originating in the perinatal period,1,5,20.000000,81402,0.610000
BARTHOLOMEW,2017,Hypoplastic left heart syndrome,1,5,20.000000,81402,0.610000
BARTHOLOMEW,2017,Necrotizing enterocolitis of newborn,1,5,20.000000,81402,0.610000
BARTHOLOMEW,2017,Accidental suffocation and strangulation in bed,1,5,20.000000,81402,0.610000
BARTHOLOMEW,2017,Perinatal intestinal perforation,1,5,20.000000,81402,0.610000
BARTHOLOMEW,2017,Sudden infant death syndrome,1,5,20.000000,81402,0.610000
BARTHOLOMEW,2018,Sudden infant death syndrome,1,1,100.000000,81402,0.120000
BENTON,2012,Accidental suffocation and strangulation in bed,1,1,100.000000,8812,1.130000
BENTON,2016,"Congenital malformation of the heart, unspecified",1,1,100.000000,8650,1.150000
BLACKFORD,2010,"Edwards' syndrome, unspecified",1,2,50.000000,12766,1.560000
BLACKFORD,2010,Necrotizing enterocolitis of newborn,1,2,50.000000,12766,1.560000
BLACKFORD,2011,"Car occupant injured in collision with railway train or railway vehicle, passenger injured in traffic accident",1,1,100.000000,12661,0.780000
BLACKFORD,2017,"Congenital malformation of the heart, unspecified",1,1,100.000000,12149,0.820000
BLACKFORD,2018,Sepsis of newborn due to Escherichia coli,1,1,100.000000,12149,0.820000
BOONE,2010,Unspecified threat to breathing,1,1,100.000000,56640,0.170000
BOONE,2011,"Myocarditis, unspecified",1,2,50.000000,57885,0.340000
BOONE,2011,"Acute bronchiolitis, unspecified",1,2,50.000000,57885,0.340000
BOONE,2013,Anencephaly,1,2,50.000000,60479,0.330000
BOONE,2013,"Myocarditis, unspecified",1,2,50.000000,60479,0.330000
BOONE,2014,Accidental suffocation and strangulation in bed,1,1,100.000000,61820,0.160000
BOONE,2015,"Congenital malformation of brain, unspecified",1,2,50.000000,63400,0.310000
BOONE,2015,Convulsions of newborn,1,2,50.000000,63400,0.310000
BOONE,2016,Assault (homicide) by unspecified means,1,3,33.333300,64653,0.460000
BOONE,2016,Extreme immaturity,1,3,33.333300,64653,0.460000
BOONE,2016,Congenital diaphragmatic hernia,1,3,33.333300,64653,0.460000
BOONE,2018,Other viral infections of unspecified site,1,4,25.000000,64653,0.610000
BOONE,2018,Hypoplastic left heart syndrome,1,4,25.000000,64653,0.610000
BOONE,2018,Accidental suffocation and strangulation in bed,1,4,25.000000,64653,0.610000
BOONE,2018,Sudden infant death syndrome,1,4,25.000000,64653,0.610000
BROWN,2011,Accidental suffocation and strangulation in bed,1,1,100.000000,15065,0.660000
BROWN,2013,Sudden infant death syndrome,1,1,100.000000,15031,0.660000
BROWN,2016,"Congenital malformation of the heart, unspecified",1,1,100.000000,14912,0.670000
BROWN,2017,Other reduction deformities of brain,1,1,100.000000,14912,0.670000
BROWN,2018,Assault (homicide) by unspecified means,1,1,100.000000,14912,0.670000
CARROLL,2013,Accidental suffocation and strangulation in bed,1,1,100.000000,20110,0.490000
CARROLL,2014,Hypoplastic left heart syndrome,1,2,50.000000,19937,1.000000
CARROLL,2014,Accidental suffocation and strangulation in bed,1,2,50.000000,19937,1.000000
CARROLL,2016,Other reduction deformities of brain,1,1,100.000000,19970,0.500000
CARROLL,2018,Sudden infant death syndrome,1,1,100.000000,19970,0.500000
CASS,2010,Extreme immaturity,1,2,50.000000,38966,0.510000
CASS,2010,Hypoplasia and dysplasia of lung,1,2,50.000000,38966,0.510000
CASS,2011,Congenital herpesviral [herpes simplex] infection,1,4,25.000000,38876,1.020000
CASS,2011,Sudden infant death syndrome,1,4,25.000000,38876,1.020000
CASS,2011,Inhalation and ingestion of food causing obstruction of respiratory tract,1,4,25.000000,38876,1.020000
CASS,2011,"Congenital malformation of lung, unspecified",1,4,25.000000,38876,1.020000
CASS,2012,Hypoplastic left heart syndrome,1,2,50.000000,38710,0.510000
CASS,2012,"Bacterial sepsis of newborn, unspecified",1,2,50.000000,38710,0.510000
CASS,2014,Necrotizing enterocolitis of newborn,1,1,100.000000,38381,0.260000
CASS,2015,Congenital diaphragmatic hernia,1,7,14.285700,38078,1.830000
CASS,2015,Accidental suffocation and strangulation in bed,1,7,14.285700,38078,1.830000
CASS,2015,Unspecified drowning and submersion,1,7,14.285700,38078,1.830000
CASS,2015,"Patau's syndrome, unspecified",1,7,14.285700,38078,1.830000
CASS,2015,"Bacterial sepsis of newborn, unspecified",1,7,14.285700,38078,1.830000
CASS,2015,Other and unspecified gastroenteritis and colitis of infectious origin,1,7,14.285700,38078,1.830000
CASS,2015,"Congenital malformation of the heart, unspecified",1,7,14.285700,38078,1.830000
CASS,2016,"Edwards' syndrome, unspecified",1,6,16.666600,37946,1.580000
CASS,2016,"Congenital malformation, unspecified",1,6,16.666600,37946,1.580000
CASS,2016,"Fall from, out of, or through building or structure",1,6,16.666600,37946,1.580000
CASS,2016,Unspecified threat to breathing,1,6,16.666600,37946,1.580000
CASS,2016,Sudden infant death syndrome,1,6,16.666600,37946,1.580000
CASS,2016,"Patau's syndrome, unspecified",1,6,16.666600,37946,1.580000
CASS,2017,"Bacterial sepsis of newborn, unspecified",1,2,50.000000,37946,0.520000
CASS,2017,Extreme immaturity,1,2,50.000000,37946,0.520000
CASS,2018,Exposure to uncontrolled fire in building or structure,1,3,33.333300,37946,0.790000
CASS,2018,Disseminated intravascular coagulation of newborn,1,3,33.333300,37946,0.790000
CASS,2018,Other cardiovascular disorders originating in the perinatal period,1,3,33.333300,37946,0.790000
CLARK,2011,,4,8,50.000000,111538,0.710000
CLARK,2011,Sudden infant death syndrome,3,8,37.500000,111538,0.710000
CLARK,2011,Extreme immaturity,1,8,12.500000,111538,0.710000
CLARK,2012,,2,4,50.000000,111912,0.350000
CLARK,2012,Sudden infant death syndrome,1,4,25.000000,111912,0.350000
CLARK,2012,"Congenital malformation of brain, unspecified",1,4,25.000000,111912,0.350000
CLARK,2013,,2,4,50.000000,112746,0.350000
CLARK,2013,Sudden infant death syndrome,1,4,25.000000,112746,0.350000
CLARK,2013,Other ill-defined and unspecified causes of mortality,1,4,25.000000,112746,0.350000
CLARK,2014,Sudden infant death syndrome,2,3,66.666600,114185,0.260000
CLARK,2014,"Viral infection, unspecified",1,3,33.333300,114185,0.260000
CLARK,2015,Sudden infant death syndrome,1,1,100.000000,115090,0.080000
CLARK,2016,Sudden infant death syndrome,2,4,50.000000,116031,0.340000
CLARK,2016,Other ill-defined and unspecified causes of mortality,1,4,25.000000,116031,0.340000
CLARK,2016,"Assault (homicide) by drugs, medicaments, and biological substances",1,4,25.000000,116031,0.340000
CLARK,2017,Sudden infant death syndrome,1,2,50.000000,116031,0.170000
CLARK,2017,Accidental suffocation and strangulation in bed,1,2,50.000000,116031,0.170000
CLAY,2011,Accidental suffocation and strangulation in bed,1,3,33.333300,26882,1.110000
CLAY,2011,"Edwards' syndrome, unspecified",1,3,33.333300,26882,1.110000
CLAY,2011,Exomphalos,1,3,33.333300,26882,1.110000
CLAY,2012,Other specified metabolic disorders,1,2,50.000000,26825,0.740000
CLAY,2012,Extreme immaturity,1,2,50.000000,26825,0.740000
CLAY,2013,Bronchopulmonary dysplasia originating in the perinatal period,1,1,100.000000,26734,0.370000
CLAY,2015,"Bacterial sepsis of newborn, unspecified",1,2,50.000000,26485,0.750000
CLAY,2015,Accidental suffocation and strangulation in bed,1,2,50.000000,26485,0.750000
CLAY,2016,Exposure to uncontrolled fire in building or structure,1,1,100.000000,26309,0.380000
CLAY,2017,Syndrome of infant of a diabetic mother,1,2,50.000000,26309,0.760000
CLAY,2017,"Neglect and abandonment, by unspecified person",1,2,50.000000,26309,0.760000
CLAY,2018,Accidental suffocation and strangulation in bed,2,3,66.666600,26309,1.140000
CLAY,2018,Other congenital malformations of trachea,1,3,33.333300,26309,1.140000
CLINTON,2010,Other reduction deformities of brain,1,4,25.000000,33224,1.200000
CLINTON,2010,Other specified disorders of brain,1,4,25.000000,33224,1.200000
CLINTON,2010,Hypoplasia and dysplasia of lung,1,4,25.000000,33224,1.200000
CLINTON,2010,Other secondary pulmonary hypertension,1,4,25.000000,33224,1.200000
CLINTON,2011,"Patau's syndrome, unspecified",1,2,50.000000,33041,0.600000
CLINTON,2011,Other reduction deformities of brain,1,2,50.000000,33041,0.600000
CLINTON,2012,Gastroschisis,1,3,33.333300,32942,0.910000
CLINTON,2012,Other hypertrophic cardiomyopathy,1,3,33.333300,32942,0.910000
CLINTON,2012,Respiratory distress syndrome of newborn,1,3,33.333300,32942,0.910000
CLINTON,2013,Disorders of urea cycle metabolism,1,2,50.000000,32883,0.600000
CLINTON,2013,Perinatal intestinal perforation,1,2,50.000000,32883,0.600000
CLINTON,2014,Neonatal hypertension,1,1,100.000000,32610,0.300000
CLINTON,2015,Persistent fetal circulation,1,4,25.000000,32567,1.220000
CLINTON,2015,Respiratory distress syndrome of newborn,1,4,25.000000,32567,1.220000
CLINTON,2015,Exomphalos,1,4,25.000000,32567,1.220000
CLINTON,2015,Assault (homicide) by unspecified means,1,4,25.000000,32567,1.220000
CLINTON,2016,Assault (homicide) by unspecified means,1,1,100.000000,32457,0.300000
CLINTON,2017,Bronchopulmonary dysplasia originating in the perinatal period,1,2,50.000000,32457,0.610000
CLINTON,2017,Unspecified threat to breathing,1,2,50.000000,32457,0.610000
CLINTON,2018,"Bacterial sepsis of newborn, unspecified",1,3,33.333300,32457,0.920000
CLINTON,2018,"Patau's syndrome, unspecified",1,3,33.333300,32457,0.920000
CLINTON,2018,Stenosis of pulmonary artery,1,3,33.333300,32457,0.920000
CRAWFORD,2010,Sudden infant death syndrome,1,1,100.000000,10713,0.930000
CRAWFORD,2011,Pulmonary edema,1,1,100.000000,10606,0.940000
DAVIESS,2010,Sudden infant death syndrome,1,1,100.000000,31648,0.310000
DAVIESS,2011,"Spinal muscular atrophy, unspecified",1,3,33.333300,31951,0.930000
DAVIESS,2011,Sudden infant death syndrome,1,3,33.333300,31951,0.930000
DAVIESS,2011,"Other maltreatment syndromes, by parent",1,3,33.333300,31951,0.930000
DAVIESS,2012,Other specified congenital malformations,1,1,100.000000,32139,0.310000
DAVIESS,2013,"Congenital malformation, unspecified",2,7,28.571400,32276,2.160000
DAVIESS,2013,,1,7,14.285700,32276,2.160000
DAVIESS,2013,"Spinal muscular atrophy, unspecified",1,7,14.285700,32276,2.160000
DAVIESS,2013,"Congenital malformation of the heart, unspecified",1,7,14.285700,32276,2.160000
DAVIESS,2013,"Respiratory distress of newborn, unspecified",1,7,14.285700,32276,2.160000
